aeloss_step,train/total_loss,train/logvar,train/kl_loss,train/nll_loss,train/rec_loss,train/d_weight,train/disc_factor,train/g_loss,discloss_step,train/disc_loss,train/logits_real,train/logits_fake,epoch,created_at,val/rec_loss,val/total_loss,val/logvar,val/kl_loss,val/nll_loss,val/d_weight,val/disc_factor,val/g_loss,val/disc_loss,val/logits_real,val/logits_fake,aeloss_epoch,discloss_epoch
32313.81640625,32313.81640625,0.0,10819.78125,32313.8046875,0.6574260592460632,5000.0,0.0,-0.7178255915641785,0.0,0.0,0.7097163796424866,0.7280347943305969,0,2024-09-11 09:31:39.185953,,,,,,,,,,,,,
33759.984375,33759.984375,0.0,60714.4453125,33759.921875,0.6868473887443542,5000.0,0.0,-0.6321905255317688,0.0,0.0,0.7054927349090576,0.6656774282455444,0,2024-09-11 09:32:28.056370,,,,,,,,,,,,,
31986.380859375,31986.380859375,0.0,14350.1484375,31986.3671875,0.6507643461227417,5000.0,0.0,-0.7078114748001099,0.0,0.0,0.6630049347877502,0.7225907444953918,0,2024-09-11 09:33:17.790586,,,,,,,,,,,,,
24941.978515625,24941.978515625,0.0,14365.306640625,24941.96484375,0.5074455738067627,5000.0,0.0,-0.6659696102142334,0.0,0.0,0.6621887683868408,0.6576784253120422,0,2024-09-11 09:34:07.198528,,,,,,,,,,,,,
,,,,,,,,,,,,,0,2024-09-11 09:35:08.111593,0.43995201587677,21624.546875,0.0,14589.5908203125,21624.533203125,0.0,0.0,-0.5469584465026855,0.0,0.8255435228347778,0.5469584465026855,,
,,,,,,,,,,,,,0,2024-09-11 09:35:09.482722,,,,,,,,,,,,30251.7265625,0.0
18654.12890625,18654.12890625,0.0,14733.8515625,18654.11328125,0.37951892614364624,5000.0,0.0,-0.6978595852851868,0.0,0.0,0.6732175350189209,0.6781004667282104,1,2024-09-11 09:35:16.131468,,,,,,,,,,,,,
22501.669921875,22501.669921875,0.0,15778.96875,22501.654296875,0.4577973484992981,5000.0,0.0,-0.6955362558364868,0.0,0.0,0.6723888516426086,0.6842005252838135,1,2024-09-11 09:36:05.884993,,,,,,,,,,,,,
22685.537109375,22685.537109375,0.0,21996.734375,22685.515625,0.46153801679611206,5000.0,0.0,-0.6276103854179382,0.0,0.0,0.6796407699584961,0.6911709904670715,1,2024-09-11 09:36:57.492229,,,,,,,,,,,,,
17381.98046875,17381.98046875,0.0,18269.44140625,17381.962890625,0.3536369502544403,5000.0,0.0,-0.6713997721672058,0.0,0.0,0.6828795075416565,0.6731932163238525,1,2024-09-11 09:37:47.744627,,,,,,,,,,,,,
17567.4140625,17567.4140625,0.0,15892.4375,17567.3984375,0.35740965604782104,5000.0,0.0,-0.6763735413551331,0.0,0.0,0.6685099601745605,0.6782091856002808,1,2024-09-11 09:38:39.114327,,,,,,,,,,,,,
